File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\Form1.cs,121,100,64,12,21,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\Form1.Designer.cs,176,121,109,1,8,0,47,66,0,0
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\Form1.cs,80,68,49,6,12,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\Form1.Designer.cs,138,101,88,1,8,0,29,60,0,0
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\IKEAArgument.cs,915,714,290,3,201,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\Program.cs,181,140,100,8,36,0,5,24,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\Worker.cs,37,32,20,2,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\bin\Debug\results.sqlite,67,63,0,0,4,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
