Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,262,26681,18130,11147,1490,3215,108,5336,27328,0,73
C:\Users\Chris\Documents\GitHub\Misc,262,26681,18130,11147,1490,3215,108,5336,27328,0,73
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown,6,460,312,209,17,51,2,97,347,0,2
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown,6,460,312,209,17,51,2,97,347,0,2
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\AsymptoticCountdown\AsymptoticCountdown\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ChartTest,6,381,260,173,11,42,2,79,341,0,2
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest,6,381,260,173,11,42,2,79,341,0,2
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ChartTest\ChartTest\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad,5,1237,964,413,13,251,0,22,144,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad,5,1237,964,413,13,251,0,22,144,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\bin,1,67,63,0,0,4,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ConsoleScratchpad\ConsoleScratchpad\bin\Debug,1,67,63,0,0,4,0,0,0,0,0
